firstName,lastName,email,phone,designation,department,employmentType,joinDate,status
StaffFirst76,StaffLast76,staff76@example.com,+919700010075,Accountant,Support,full-time,2015-04-13,active
StaffFirst77,StaffLast77,staff77@example.com,+919700010076,Teacher,Academics,part-time,2016-05-14,active
StaffFirst78,StaffLast78,staff78@example.com,+919700010077,Administrator,Admin,contract,2017-06-15,active
StaffFirst79,StaffLast79,staff79@example.com,+919700010078,Counselor,Finance,full-time,2018-07-16,active
StaffFirst80,StaffLast80,staff80@example.com,+919700010079,Accountant,Support,part-time,2019-08-17,active
StaffFirst81,StaffLast81,staff81@example.com,+919700010080,Teacher,Academics,contract,2010-09-18,active
StaffFirst82,StaffLast82,staff82@example.com,+919700010081,Administrator,Admin,full-time,2011-01-10,active
StaffFirst83,StaffLast83,staff83@example.com,+919700010082,Counselor,Finance,part-time,2012-02-11,active
StaffFirst84,StaffLast84,staff84@example.com,+919700010083,Accountant,Support,contract,2013-03-12,active
StaffFirst85,StaffLast85,staff85@example.com,+919700010084,Teacher,Academics,full-time,2014-04-13,active
StaffFirst86,StaffLast86,staff86@example.com,+919700010085,Administrator,Admin,part-time,2015-05-14,inactive
StaffFirst87,StaffLast87,staff87@example.com,+919700010086,Counselor,Finance,contract,2016-06-15,active
StaffFirst88,StaffLast88,staff88@example.com,+919700010087,Accountant,Support,full-time,2017-07-16,active
StaffFirst89,StaffLast89,staff89@example.com,+919700010088,Teacher,Academics,part-time,2018-08-17,active
StaffFirst90,StaffLast90,staff90@example.com,+919700010089,Administrator,Admin,contract,2019-09-18,active
StaffFirst91,StaffLast91,staff91@example.com,+919700010090,Counselor,Finance,full-time,2010-01-10,active
StaffFirst92,StaffLast92,staff92@example.com,+919700010091,Accountant,Support,part-time,2011-02-11,active
StaffFirst93,StaffLast93,staff93@example.com,+919700010092,Teacher,Academics,contract,2012-03-12,active
StaffFirst94,StaffLast94,staff94@example.com,+919700010093,Administrator,Admin,full-time,2013-04-13,active
StaffFirst95,StaffLast95,staff95@example.com,+919700010094,Counselor,Finance,part-time,2014-05-14,active
StaffFirst96,StaffLast96,staff96@example.com,+919700010095,Accountant,Support,contract,2015-06-15,active
StaffFirst97,StaffLast97,staff97@example.com,+919700010096,Teacher,Academics,full-time,2016-07-16,active
StaffFirst98,StaffLast98,staff98@example.com,+919700010097,Administrator,Admin,part-time,2017-08-17,active
StaffFirst99,StaffLast99,staff99@example.com,+919700010098,Counselor,Finance,contract,2018-09-18,active
StaffFirst100,StaffLast100,staff100@example.com,+919700010099,Accountant,Support,full-time,2019-01-10,active
